town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,KF,L,MHL,MRZ,PA,SHS,OTHER
242,1038,766,1,765,165,1,1,23,11,17,42,69,435,0,1
246,23036,17413,116,17297,247,1281,4,907,907,1100,5184,28,759,6805,75
247,874,683,4,679,37,0,1,7,2,33,62,90,355,0,92
248,475,383,1,382,36,0,1,14,2,7,51,35,235,0,1
249,971,807,3,804,45,1,2,16,2,31,85,52,496,4,70
250,899,631,1,630,68,1,4,13,4,8,21,208,292,7,4
252,193,75,0,75,5,2,0,4,2,5,6,6,39,1,5
253,446,332,0,332,82,1,0,7,6,10,19,44,156,1,6
254,307,212,0,212,36,0,0,2,0,8,14,24,127,1,0
255,502,340,0,340,29,1,0,13,4,16,111,6,148,8,4
256,610,455,0,455,64,1,0,8,1,10,10,144,217,0,0
257,390,322,0,322,23,1,1,15,6,4,145,5,93,27,2
259,519,377,2,375,56,0,0,4,11,13,78,17,188,3,5
262,545,377,2,375,53,1,0,2,5,9,61,34,209,0,1
263,272,176,1,175,28,0,0,1,0,5,19,11,105,2,4
264,493,363,0,363,48,0,2,5,3,4,13,91,195,0,2
265,366,245,0,245,13,2,0,7,11,1,153,3,14,27,14
267,1868,1186,8,1178,76,7,2,26,5,62,168,108,710,5,9
268,519,393,8,385,31,4,0,210,9,3,55,4,60,1,8
269,792,576,3,573,69,2,0,14,0,17,44,60,357,3,7
270,880,527,2,525,89,1,1,3,1,24,23,156,224,3,0
272,465,288,0,288,68,0,2,1,3,5,22,29,155,0,3
273,481,318,1,317,82,0,1,4,0,8,33,34,150,0,5
274,883,673,1,672,78,2,6,13,0,21,38,167,343,2,2
276,1830,1433,2,1431,124,7,3,28,5,45,153,132,896,8,30
278,373,261,0,261,32,1,3,2,2,7,18,29,167,0,0
280,728,465,0,465,78,0,1,7,3,11,38,82,243,0,2
281,325,259,0,259,29,6,0,0,8,4,130,0,10,70,2
282,878,615,1,614,60,0,2,31,1,25,121,48,317,9,0
284,1000,742,1,741,35,3,2,7,3,15,65,133,472,3,3
285,508,397,1,396,76,0,1,4,1,11,24,39,235,2,3
