town-symbol,available-votes,voted,disqualified-votes,proper-votes,AMT,G,VDAM,TB,L,MHL,PA,SHS,OTHER
301,461,353,0,353,18,0,0,20,5,175,95,32,8
756,828,627,1,626,38,3,0,26,17,253,238,45,6
604,738,585,5,580,17,9,1,32,2,347,115,51,6
212,68,33,0,33,0,20,0,1,0,7,0,4,1
598,675,545,1,544,144,1,3,5,16,66,305,1,3
365,476,344,0,344,116,0,4,5,3,16,200,0,0
848,331,248,0,248,0,13,0,122,0,77,1,29,6
1162,390,322,0,322,7,4,1,223,2,54,19,5,7
9200,14358,10152,40,10112,164,109,28,463,169,6342,645,2093,99
2610,65157,43317,286,43031,394,15447,20,3601,1382,11349,1942,8450,446
248,487,397,1,396,50,1,3,8,4,57,270,1,2
747,570,440,0,440,13,4,0,9,8,279,35,87,5
252,213,77,0,77,5,2,0,2,3,14,50,1,0
3780,26014,21339,128,21211,15,13588,3,164,8,895,22,6345,171
94,400,331,2,329,35,5,1,10,10,88,172,5,3
760,611,508,3,505,4,3,0,28,5,327,23,115,0
712,552,413,0,413,49,8,4,15,11,103,217,5,1
1084,236,167,0,167,44,0,3,1,2,31,80,5,1
2013,591,466,1,465,61,2,1,12,8,116,254,7,4
6100,111344,85775,929,84846,314,51922,22,1200,469,4951,1133,24389,446
1368,543,464,1,463,0,16,0,327,0,84,0,8,28
592,478,398,5,393,5,5,0,213,1,107,47,10,5
386,981,785,3,782,102,1,0,25,10,128,512,2,2
4015,893,595,3,592,52,1,1,29,38,172,276,8,15
1363,310,266,0,266,0,57,0,150,0,41,2,9,7
448,613,511,1,510,88,0,2,15,11,62,326,5,1
1066,5768,3767,35,3732,62,52,0,122,987,1587,539,330,53
418,846,637,1,636,88,1,3,5,13,100,420,3,3
588,895,723,2,721,6,59,2,206,3,323,23,72,27
685,624,503,3,500,52,0,1,12,4,98,325,6,2
9800,10257,7636,16,7620,1090,22,48,302,196,1646,4157,125,34
1326,6639,4467,34,4433,79,0,4305,0,1,8,20,1,19
944,5371,2936,10,2926,121,7,2578,8,4,33,93,39,43
483,5653,4460,10,4450,11,5,4332,2,4,16,33,36,11
389,769,573,2,571,60,2,2,11,7,79,408,2,0
589,298,224,0,224,27,0,6,6,5,57,113,6,4
864,540,430,1,429,30,1,0,18,4,238,102,31,5
3612,140,104,0,104,4,0,0,6,1,50,39,3,1
823,412,311,1,310,26,3,1,18,4,182,48,26,2
1191,626,460,1,459,0,36,0,131,4,180,7,87,14
3744,450,395,0,395,0,13,0,317,2,46,0,13,4
428,729,509,3,506,141,3,8,6,13,68,266,0,1
2060,342,272,0,272,18,0,0,19,9,159,39,26,2
3710,1163,1005,3,1002,1,21,3,320,0,599,8,14,36
746,766,649,0,649,4,72,0,73,3,345,19,125,8
667,505,351,1,350,157,1,4,0,7,11,166,2,2
141,304,219,1,218,13,0,0,5,4,92,93,10,1
617,518,334,1,333,142,0,5,6,1,4,174,1,0
3654,1381,1001,5,996,18,2,4,96,81,607,172,10,6
2038,1124,923,0,923,1,78,0,65,1,551,18,178,31
1323,498,397,0,397,30,5,0,17,15,184,119,26,1
1361,417,319,4,315,38,3,1,5,5,29,230,4,0
1319,4044,2932,7,2925,334,6,9,100,80,595,1752,32,17
6200,124576,65107,492,64615,2195,1032,179,1620,10877,27650,14421,6058,583
3794,855,620,1,619,1,71,0,204,0,242,5,41,55
33,441,354,0,354,68,1,4,16,7,60,192,4,2
1292,14464,10059,44,10015,43,10,9806,5,3,32,39,18,59
485,4710,2846,31,2815,108,5,88,43,354,319,1564,310,24
627,6383,5078,13,5065,202,0,4816,1,1,2,29,1,13
976,478,211,1,210,2,0,173,0,1,1,12,2,19
541,8896,4941,56,4885,21,1,4722,17,1,13,41,12,57
487,2459,1527,14,1513,54,0,1119,2,206,11,107,5,9
628,8186,4597,20,4577,42,0,4471,4,1,8,22,1,28
872,261,207,0,207,6,0,28,16,2,108,35,7,5
379,691,511,2,509,38,3,0,31,9,213,182,28,5
853,835,643,2,641,55,5,2,12,25,154,385,2,1
352,306,196,0,196,67,0,3,2,36,7,81,0,0
424,458,340,0,340,111,0,2,5,6,23,190,2,1
86,514,376,0,376,93,0,0,2,3,13,265,0,0
3763,3230,2405,10,2395,27,58,2,269,66,1238,158,506,71
683,723,526,2,524,45,3,0,14,10,135,308,6,3
2014,296,249,1,248,3,4,0,7,0,190,15,25,4
3644,1005,710,4,706,38,4,5,61,37,332,201,17,11
1344,604,490,0,490,36,1,0,57,19,165,210,2,0
1293,1676,1154,2,1152,50,12,2,61,41,491,439,46,10
1288,1610,1212,0,1212,201,2,9,21,29,108,835,4,3
147,1873,1380,2,1378,334,2,9,26,25,141,834,4,3
870,500,386,0,386,88,0,1,7,2,46,238,3,1
3730,11582,8864,27,8837,128,1851,5,678,153,3301,831,1782,108
207,301,249,1,248,40,0,4,5,6,25,168,0,0
2018,972,732,1,731,208,1,6,0,8,18,486,0,4
173,889,667,0,667,216,0,9,13,17,45,361,1,5
4021,471,331,3,328,30,0,2,19,21,76,178,0,2
787,933,704,3,701,95,9,4,56,16,280,187,43,11
919,513,391,0,391,103,1,9,14,10,64,178,10,2
802,651,482,1,481,22,7,0,31,15,254,112,34,6
360,439,341,0,341,29,3,1,6,6,167,122,4,3
703,401,257,1,256,73,0,1,10,6,16,147,2,1
681,18240,13891,43,13848,582,300,42,4000,310,4279,3395,787,153
1077,215,172,1,171,13,1,5,8,0,16,126,2,0
793,654,493,2,491,21,3,0,33,7,256,112,58,1
6300,48523,33978,117,33861,4963,207,325,1072,950,6880,18797,491,176
342,316,239,1,238,44,1,0,6,13,26,142,2,4
133,681,553,2,551,131,0,1,2,8,29,378,0,2
35,368,242,0,242,78,0,0,1,9,10,143,0,1
145,282,210,0,210,2,2,0,7,2,168,8,18,3
442,293,227,1,226,14,4,0,4,7,121,46,27,3
2550,17628,13122,63,13059,834,144,30,626,461,5212,4886,747,119
852,343,234,0,234,56,0,1,2,6,13,156,0,0
755,342,267,0,267,10,1,0,5,0,177,28,44,2
1219,165,108,1,107,5,2,0,0,4,60,22,14,0
457,633,450,0,450,176,0,5,3,15,21,229,0,1
370,385,207,1,206,61,0,8,1,1,19,116,0,0
706,556,423,0,423,46,4,1,8,12,115,231,3,3
196,265,217,1,216,41,2,0,4,6,33,126,1,3
1043,146,113,0,113,22,1,0,4,1,50,32,3,0
1204,924,693,0,693,73,0,2,26,29,100,462,0,1
736,1021,775,4,771,27,7,0,61,11,461,161,36,7
262,539,371,1,370,80,0,4,6,2,61,211,1,5
92,540,379,2,377,98,1,4,2,8,38,224,1,1
863,656,519,2,517,56,0,2,18,10,123,290,14,4
1206,203,139,1,138,22,1,1,2,26,36,49,0,1
3613,241,195,0,195,3,6,0,92,2,62,28,0,2
393,470,327,1,326,104,0,4,4,4,9,200,1,0
3606,155,91,1,90,10,1,1,5,2,37,32,1,1
346,352,275,0,275,77,0,7,3,4,10,165,8,1
369,369,284,0,284,66,0,1,6,8,7,196,0,0
745,676,553,1,552,17,18,0,313,2,139,27,25,11
1072,356,291,0,291,25,3,1,14,8,105,132,3,0
225,629,488,2,486,82,0,4,16,9,56,317,1,1
239,533,422,0,422,54,1,3,4,18,41,299,1,1
734,639,497,0,497,76,1,4,13,11,51,336,3,2
166,16531,12372,42,12330,449,73,20,631,565,5601,4100,821,70
1274,2101,1492,3,1489,100,7,2,66,55,628,599,26,6
311,264,206,0,206,17,1,4,6,4,46,128,0,0
144,400,323,0,323,92,0,1,4,2,12,208,1,3
72,871,674,1,673,284,0,5,1,3,14,366,0,0
836,351,269,1,268,23,5,0,6,8,84,139,3,0
549,713,545,1,544,38,2,1,9,10,146,327,11,0
1103,258,202,0,202,31,1,0,7,6,34,123,0,0
1371,421,367,0,367,3,8,0,212,2,106,15,16,5
862,531,400,1,399,24,3,1,15,3,145,195,11,2
3823,1882,1486,5,1481,4,125,0,211,2,392,11,696,40
218,212,167,0,167,32,0,0,6,2,29,98,0,0
229,14737,11497,37,11460,777,252,31,476,315,2881,5758,918,52
842,672,524,1,523,165,1,7,8,6,29,305,2,0
463,547,375,0,375,107,0,3,4,9,32,218,2,0
39,266,224,0,224,4,2,0,7,2,148,19,38,4
1129,289,169,0,169,35,0,1,2,3,19,108,0,1
4022,220,153,2,151,14,0,0,2,11,30,86,2,6
305,413,261,2,259,78,0,5,2,0,27,145,0,2
574,1181,819,3,816,142,0,7,20,32,210,397,3,5
340,564,408,1,407,99,0,1,5,4,44,252,0,2
128,202,148,0,148,20,0,0,4,4,36,80,3,1
494,12693,7150,48,7102,481,1,650,32,272,407,5200,22,37
146,228,157,3,154,11,0,0,2,4,40,92,3,2
489,7039,4922,16,4906,36,0,4826,1,3,9,16,2,13
849,651,490,0,490,129,4,2,11,10,45,288,0,1
407,327,230,2,228,27,0,0,1,7,24,164,4,1
62,512,341,1,340,96,0,0,2,8,22,210,1,1
79,567,404,1,403,90,1,0,10,4,36,262,0,0
1067,361,250,0,250,2,2,0,7,0,197,17,20,5
3747,864,689,1,688,2,19,0,440,1,183,7,18,18
738,285,222,0,222,14,0,1,5,3,52,143,3,1
336,554,408,0,408,120,1,2,9,4,32,235,3,2
475,511,292,4,288,3,0,276,1,0,3,4,1,0
490,8208,6877,20,6857,152,3,6425,0,1,14,41,202,19
492,7322,5860,9,5851,37,2,5670,3,10,26,38,55,10
2200,28214,17556,152,17404,341,157,47,602,1282,10761,2084,2005,125
2063,296,198,1,197,7,1,0,14,6,104,39,18,8
300,660,498,0,498,184,0,6,3,1,11,292,1,0
431,632,491,1,490,1,4,0,19,0,315,10,128,13
1317,318,239,1,238,1,0,213,1,0,2,17,1,3
303,526,380,1,379,127,0,2,7,3,11,229,0,0
302,581,448,1,447,118,0,2,5,5,41,275,1,0
1241,270,183,1,182,22,0,0,10,7,57,84,0,2
1349,555,424,1,423,8,0,383,0,0,10,20,1,1
702,154,87,1,86,20,2,0,2,5,12,40,4,1
675,300,205,0,205,43,0,1,2,4,14,141,0,0
356,651,459,4,455,89,0,4,6,7,60,284,4,1
191,516,413,1,412,60,0,6,4,13,45,279,1,4
9700,46218,34935,101,34834,3394,160,103,838,1070,8225,20012,888,144
726,498,322,3,319,21,1,0,9,3,182,59,38,6
1169,1074,581,3,578,1,0,539,0,0,0,26,1,11
956,1113,462,4,458,49,1,396,0,0,2,6,0,4
1186,1374,1042,1,1041,28,6,0,532,1,239,211,15,9
250,906,611,1,610,241,0,4,10,8,15,325,4,3
307,515,425,1,424,3,12,0,218,4,141,17,18,11
434,590,457,0,457,114,3,2,4,9,25,296,1,3
684,565,436,1,435,46,0,4,8,14,23,333,4,3
1208,487,333,1,332,85,1,8,8,2,38,185,3,2
377,636,494,0,494,153,0,5,7,4,26,294,4,1
677,718,535,0,535,94,3,1,10,10,59,347,7,4
423,619,461,2,459,160,1,8,5,7,15,260,1,2
3769,3037,2311,3,2308,263,5,12,96,72,584,1238,23,15
3603,1002,775,1,774,44,3,2,56,44,384,187,47,7
1261,115,82,0,82,25,0,1,6,4,11,31,0,4
464,220,120,0,120,45,0,5,0,0,7,63,0,0
1249,405,314,0,314,155,1,17,2,2,4,130,0,3
6400,82906,55010,177,54833,4796,675,235,1548,2301,14894,28206,1878,300
1203,353,267,3,264,82,0,11,3,1,16,146,1,4
3639,238,189,2,187,10,1,0,12,5,105,47,4,3
1133,222,172,0,172,20,4,3,8,6,67,48,16,0
815,415,353,0,353,1,18,0,11,0,218,10,95,0
44,264,203,0,203,5,6,0,11,5,129,24,22,1
584,717,492,3,489,129,0,3,13,11,79,249,3,2
788,817,694,1,693,15,6,0,14,6,469,81,96,6
9300,16895,12172,38,12134,1176,618,59,618,292,2586,5955,771,59
799,764,588,1,587,9,0,0,14,5,432,63,61,3
1290,4720,3236,27,3209,17,1,3146,2,1,6,14,5,17
1065,370,342,0,342,5,15,0,56,3,208,14,35,6
816,398,289,1,288,4,2,1,12,4,196,14,49,6
2064,305,229,0,229,3,7,0,9,0,151,20,35,4
975,5365,2863,21,2842,264,3,1902,4,13,114,486,3,53
818,488,419,1,418,2,8,0,43,1,235,5,119,5
1321,500,273,3,270,6,0,252,0,0,0,7,1,4
235,344,224,0,224,24,0,0,5,5,47,124,17,2
1110,362,259,0,259,8,1,0,7,14,147,59,18,5
3400,297,216,1,215,0,21,0,98,1,45,2,7,41
717,724,576,2,574,49,2,1,26,9,149,321,14,3
3764,335,262,0,262,0,16,0,179,0,57,0,2,8
205,503,398,0,398,82,0,3,6,6,40,260,1,0
4026,642,381,1,380,18,2,0,17,11,130,198,1,3
618,600,486,0,486,11,16,1,22,3,295,77,53,8
6500,76558,48251,297,47954,1887,667,214,1498,4648,21607,13046,4011,376
160,657,536,1,535,102,1,1,13,9,79,328,1,1
6600,158891,101584,518,101066,4606,894,163,2914,7081,42980,31303,10345,780
1239,133,96,0,96,27,0,0,4,4,15,45,0,1
253,458,335,1,334,90,3,1,16,5,26,188,0,5
662,733,535,4,531,22,1,2,19,23,322,99,39,4
1332,552,338,1,337,9,0,308,0,0,5,13,0,2
115,735,522,2,520,70,1,5,12,8,48,375,0,1
374,464,302,0,302,100,0,5,5,12,22,153,1,4
1303,8100,4168,67,4101,50,1,3757,2,7,178,68,3,35
496,4571,2374,10,2364,166,1,274,29,431,157,1215,73,18
355,296,196,0,196,67,0,2,3,4,32,88,0,0
1047,257,227,0,227,2,7,0,15,0,155,12,33,3
219,449,359,0,359,44,7,1,49,4,43,204,3,4
3643,810,630,2,628,5,8,0,272,83,199,28,19,14
4000,249627,145488,863,144625,10395,5604,14915,5020,14893,38464,50081,4218,1035
162,926,751,0,751,141,0,5,15,18,34,536,1,1
1272,415,271,1,270,88,0,4,4,2,18,152,1,1
820,354,259,1,258,8,1,1,18,3,167,26,30,4
993,1165,655,7,648,36,1,555,1,1,3,42,2,7
801,570,478,2,476,6,25,0,215,2,132,58,34,4
343,307,212,0,212,53,0,0,11,3,39,105,0,1
3646,119,94,0,94,0,1,0,58,0,30,1,3,1
3609,131,87,0,87,6,1,0,4,2,41,33,0,0
807,657,468,2,466,53,1,3,5,8,64,331,0,1
